Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
144,Delon Wright,27,DAL,PG,4,0,13.3,1.5,2.5,0.6,0.3,0.5,0.5,1.3,2,0.625,0.65,0.8,1.3,0.6,0.3,0.5,0.8,1.8,1.3,0,1.3,0.5,4,,wrighde01
145,Andre Iguodala,36,MIA,SF,21,0,19.5,1.4,3.1,0.462,0.7,1.9,0.359,0.8,1.2,0.615,0.569,0.2,0.3,0.714,0.5,2,2.6,1.5,0.8,0.6,0.7,2.1,3.8,,iguodan01
146,Robert Williams,22,BOS,C,13,0,11.5,1.8,2.4,0.742,0,0.1,0,1.8,2.3,0.767,0.742,0.2,0.5,0.333,1.7,2.2,3.9,0.8,0.2,0.5,0.5,1.4,3.7,,williro04
147,Chris Clemons,22,HOU,SG,2,0,4,1,2.5,0.4,1,2.5,0.4,0,0,,0.6,0.5,1,0.5,0,1,1,0,0,0,0,0,3.5,,clemoch01
148,Miye Oni,22,UTA,SF,2,0,7,1.5,3,0.5,0.5,2,0.25,1,1,1,0.583,0,0,,1,1,2,0,0.5,0.5,0.5,1,3.5,,onimi01
149,PJ Dozier,23,DEN,SG,12,0,10.4,1.2,2.8,0.424,0.2,0.7,0.25,1,2.1,0.48,0.455,0.7,1.2,0.571,0.2,1.3,1.5,1,0.2,0.2,0.7,1.1,3.2,,doziepj01
150,Matt Thomas,25,TOR,SG,10,0,8.4,1.3,2.1,0.619,0.5,1.2,0.417,0.8,0.9,0.889,0.738,0,0,,0.1,1.3,1.4,0.7,0.1,0.1,0.1,0.6,3.1,,thomama02
151,J.J. Barea,35,DAL,PG,1,0,5,0,1,0,0,0,,0,1,0,0,3,3,1,0,0,0,0,0,0,1,1,3,,bareajo01
152,Javonte Green,26,BOS,SG,1,0,6,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,0,0,0,0,1,3,,greenja02
153,Ersan İlyasova,32,MIL,PF,3,0,7.7,1,3,0.333,0.3,1.7,0.2,0.7,1.3,0.5,0.389,0.7,0.7,1,0,1.3,1.3,0,0.7,0,0.3,1,3,,ilyaser01
154,B.J. Johnson,24,ORL,SF,1,0,4,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,2,2,0,0,0,0,0,3,,johnsbj01
155,Vic Law,24,ORL,PF,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,2,2,1,0,0,0,0,3,,lawvi01
156,Malcolm Miller,26,TOR,SF,1,0,5,1,3,0.333,1,1,1,0,2,0,0.5,0,0,,0,0,0,0,0,0,0,2,3,,millema01
157,Nerlens Noel,25,OKC,C,7,0,13.9,1.1,2.4,0.471,0,0.1,0,1.1,2.3,0.5,0.471,0.7,1.4,0.5,0.7,3.4,4.1,0.4,0.3,0.7,0.3,2.1,3,,noelne01
158,JaVale McGee,32,LAL,C,14,11,9.6,1.4,2.3,0.625,0,0.1,0,1.4,2.1,0.667,0.625,0.1,0.1,0.5,1.1,2,3.1,0.5,0.1,0.7,0.6,1.6,2.9,,mcgeeja01
159,Rondae Hollis-Jefferson,25,TOR,PF,5,0,7.8,0.8,2,0.4,0,0.2,0,0.8,1.8,0.444,0.4,1.2,1.6,0.75,1,1,2,0.6,0.4,0.2,0.2,1,2.8,,holliro01
160,Grant Williams,21,BOS,PF,17,0,10,0.9,1.5,0.577,0.6,1,0.588,0.3,0.5,0.556,0.769,0.4,0.6,0.7,0.4,1.1,1.5,0.4,0.1,0.3,0.2,1.9,2.8,,willigr01
161,Troy Daniels,28,DEN,SG,6,0,5,1,2,0.5,0.5,1,0.5,0.5,1,0.5,0.625,0.2,0.3,0.5,0.2,0.3,0.5,0.3,0,0,0,0.3,2.7,,danietr01
162,Doug McDermott,28,IND,PF,4,0,13.5,1,3.8,0.267,0.5,2.5,0.2,0.5,1.3,0.4,0.333,0,0,,0,0.8,0.8,0.3,0.3,0,0.3,0.8,2.5,,mcderdo01
163,Rayjon Tucker,22,UTA,SG,2,0,5.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0,0,,0,0,0,0,0,0,0.5,0.5,2.5,,tuckera01
164,Mason Plumlee,29,DEN,C,19,0,10.8,1,2.1,0.487,0,0.1,0,1,2,0.5,0.487,0.4,0.6,0.667,1.6,1.6,3.2,1.3,0.2,0.4,0.6,2.1,2.4,,plumlma01
165,Donta Hall,22,BRK,C,3,0,6.7,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0.3,1.3,0.25,1,0.7,1.7,0,0,0.7,0.3,0.3,2.3,,halldo01
166,Michael Kidd-Gilchrist,26,DAL,PF,6,0,9.2,0.7,2.3,0.286,0.3,1.5,0.222,0.3,0.8,0.4,0.357,0.7,1,0.667,0.3,0.7,1,0.5,0.2,0.2,0.2,1.3,2.3,,kiddgmi01
167,T.J. McConnell,27,IND,PG,3,0,9.3,1,2.7,0.375,0,0,,1,2.7,0.375,0.375,0.3,0.7,0.5,0,2,2,2.3,0,0,0.7,1.3,2.3,,mccontj01
168,Quinn Cook,26,LAL,PG,6,0,4,0.8,1.7,0.5,0.3,0.7,0.5,0.5,1,0.5,0.6,0.2,0.2,1,0,0.2,0.2,0.8,0,0,0.2,0.2,2.2,,cookqu01
169,Jaylen Adams,23,POR,PG,3,0,7,1,3,0.333,0,1.3,0,1,1.7,0.6,0.333,0,0,,0.3,0.7,1,0.7,0.3,0,0,0.3,2,,adamsja01
170,Antonius Cleveland,25,DAL,SG,2,0,4.5,1,2.5,0.4,0,0,,1,2.5,0.4,0.4,0,0,,0.5,0,0.5,0,0.5,0,0,0.5,2,,clevean01
171,Robin Lopez,31,MIL,C,3,0,7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0,0,,0,1.3,1.3,0,0,0,0,0.7,2,,lopezro01
172,Josh Reaves,22,DAL,SF,2,0,4.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,1,1,0.5,0,0.5,0.5,0.5,2,,reavejo02
173,J.R. Smith,34,LAL,SG,10,0,7.5,0.7,2.6,0.269,0.6,2.2,0.273,0.1,0.4,0.25,0.385,0,0,,0,0.3,0.3,0.3,0.2,0,0.7,1.1,2,,smithjr01
174,Edmond Sumner,24,IND,SG,3,0,13.7,0.7,2.3,0.286,0,1,0,0.7,1.3,0.5,0.286,0.7,0.7,1,0.3,1.7,2,0,0,0,0.7,1.7,2,,sumneed01
175,Dion Waiters,28,LAL,SG,5,0,7.6,0.8,2.4,0.333,0,0.8,0,0.8,1.6,0.5,0.333,0.4,0.4,1,0,0.4,0.4,0.4,0.2,0.2,0.2,0.4,2,,waitedi01
176,Matisse Thybulle,22,PHI,SG,4,1,18.8,0.8,1.8,0.429,0.3,1,0.25,0.5,0.8,0.667,0.5,0,0,,0.3,1.5,1.8,0.5,0.8,0.3,0.5,1.5,1.8,,thybuma01
177,Solomon Hill,28,MIA,PF,7,0,6,0.7,1.3,0.556,0.3,0.9,0.333,0.4,0.4,1,0.667,0,0,,0.1,0.9,1,0.4,0.1,0,0,0.7,1.7,,hillso01
178,Rodney McGruder,28,LAC,SG,5,0,3.2,0.6,1,0.6,0.4,0.6,0.667,0.2,0.4,0.5,0.8,0,0,,0.2,0.6,0.8,0.4,0,0,0,0,1.6,,mcgruro01
179,Semi Ojeleye,25,BOS,PF,13,0,9.4,0.5,2.2,0.25,0.4,1.8,0.217,0.2,0.4,0.4,0.339,0.2,0.2,1,0.2,0.8,0.9,0.1,0.2,0,0.1,0.7,1.6,,ojelese01
180,Tony Bradley,22,UTA,C,6,0,8,0.3,1.5,0.222,0,0,,0.3,1.5,0.222,0.222,0.8,1.2,0.714,1.7,2.2,3.8,0.2,0.3,0.3,0.7,0.7,1.5,,bradlto01
181,Tacko Fall,24,BOS,C,2,0,1.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.5,1,0.5,0,0.5,0.5,0,0,0,0,0,1.5,,fallta01
182,Terrance Ferguson,21,OKC,SF,4,1,10.5,0.5,2.8,0.182,0.5,2.5,0.2,0,0.3,0,0.273,0,0,,0.3,0.8,1,0.3,0.3,0,0.3,0.8,1.5,,fergute01
183,Derrick Jones Jr.,22,MIA,SF,15,0,6.5,0.5,1.1,0.471,0.3,0.6,0.444,0.3,0.5,0.5,0.588,0.1,0.3,0.4,0.4,0.4,0.8,0.5,0.4,0.3,0.1,0.8,1.5,,jonesde02
184,Mike Muscala,28,OKC,C,2,0,10,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,2,2,0.5,0,0,0,1,1.5,,muscami01
185,Mike Scott,31,PHI,PF,4,0,5,0.3,1.3,0.2,0,0.5,0,0.3,0.8,0.333,0.2,1,1,1,0.5,1.5,2,0.3,0,0,0,0.5,1.5,,scottmi01
186,Romeo Langford,20,BOS,SG,7,0,6.6,0.6,1.4,0.4,0.1,0.3,0.5,0.4,1.1,0.375,0.45,0.1,0.3,0.5,0,0.4,0.4,0.3,0.1,0,0.3,0.6,1.4,,langfro01
187,Juwan Morgan,22,UTA,PF,7,2,12.3,0.4,1.7,0.25,0.3,1.4,0.2,0.1,0.3,0.5,0.333,0.3,0.9,0.333,0.9,2.1,3,0.7,0.3,0,0.1,1.6,1.4,,morgaju01
188,Justin Jackson,24,DAL,PF,3,0,5.3,0.3,2,0.167,0,1,0,0.3,1,0.333,0.167,0.7,1.3,0.5,0,1,1,0,0,0,0,0.3,1.3,,jacksju01
189,Abdel Nader,26,OKC,SF,3,0,8.3,0.3,2.3,0.143,0.3,1.7,0.2,0,0.7,0,0.214,0.3,0.7,0.5,0.3,0.7,1,0,0.3,0.7,0,0.3,1.3,,naderab01
190,Lance Thomas,31,BRK,PF,3,0,5.7,0.3,1.7,0.2,0,0.7,0,0.3,1,0.333,0.2,0.7,1.3,0.5,0.3,0.7,1,0,0,0.3,0,0.7,1.3,,thomala01
191,Chris Boucher,27,TOR,C,7,0,6.1,0.4,1.6,0.273,0.3,0.7,0.4,0.1,0.9,0.167,0.364,0,0.1,0,0.4,1.3,1.7,0.1,0,0.3,0.1,0.7,1.1,,bouchch01
192,Bruno Caboclo,24,HOU,C,2,0,3.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,1.5,1.5,0,0.5,0,0,1,1,,cabocbr01
